nid,title,type,doc_type,BoL
52146,"ERISA Section 4203 [29 USC 1383] Complete withdrawal",statute,NULL,127
52147,"ERISA Section 4204 [29 USC 1384] Sale of assets",statute,NULL,127
52148,"ERISA Section 4205 [29 USC 1385] Partial withdrawals",statute,NULL,127
52149,"ERISA Section 4206 [29 USC 1386] Adjustment for partial withdrawal; determination of amount; reduction for partial withdrawal liability; procedures applicable",statute,NULL,127
52150,"ERISA Section 4207 [29 USC 1387] Reduction or waiver of complete withdrawal liability; procedures and standards applicable",statute,NULL,127
52151,"ERISA Section 4208 [29 USC 1388] Reduction of partial withdrawal liability",statute,NULL,127
52152,"ERISA Section 4209 [29 USC 1389] De minimis rule",statute,NULL,127
52153,"ERISA Section 4210 [29 USC 1390] Nonapplicability of withdrawal liability for certain temporary contribution obligation periods; exception",statute,NULL,127
52154,"ERISA Section 4211 [29 USC 1391] Methods for computing withdrawal liability",statute,NULL,127
52155,"ERISA Section 4212 [29 USC 1392] Obligation to contribute",statute,NULL,127
52156,"ERISA Section 4213 [29 USC 1393] Actuarial assumptions",statute,NULL,127
52157,"ERISA Section 4214 [29 USC 1394] Application of plan amendments; exception",statute,NULL,127
52158,"ERISA Section 4215 [29 USC 1395] Plan notification to corporation of potentially significant withdrawals",statute,NULL,127
52159,"ERISA Section 4216 [29 USC 1396] Special rules for plans under section 404(c) of title 26",statute,NULL,127
52160,"ERISA Section 4217 [29 USC 1397] Application of part in case of certain pre-1980 withdrawals; adjustment of covered plan",statute,NULL,127
52161,"ERISA Section 4218 [29 USC 1398] Withdrawal not to occur because of change in business form or suspension of contributions during labor dispute",statute,NULL,127
52162,"ERISA Section 4219 [29 USC 1399] Notice, collection, etc., of withdrawal liability",statute,NULL,127
52163,"ERISA Section 4220 [29 USC 1400] Approval of amendments",statute,NULL,127
52164,"ERISA Section 4221 [29 USC 1401] Resolution of disputes",statute,NULL,127
52165,"ERISA Section 4222 [29 USC 1402] Reimbursements for uncollectible withdrawal liability",statute,NULL,127
52166,"ERISA Section 4223 [29 USC 1403] Withdrawal liability payment fund",statute,NULL,127
52167,"ERISA Section 4224 [29 USC 1404] Alternative method of withdrawal liability payments",statute,NULL,127
52168,"ERISA Section 4225 [29 USC 1405] Limitation on withdrawal liability",statute,NULL,127
52169,"ERISA Section 4231 [29 USC 1411] Mergers and transfers between multiemployer plans",statute,NULL,127
52170,"ERISA Section 4232 [29 USC 1412] Transfers between a multiemployer plan and a single-employer plan",statute,NULL,127
52171,"ERISA Section 4233 [29 USC 1413] Partitions of eligible multiemployer plans",statute,NULL,127
52172,"ERISA Section 4234 [29 USC 1414] Asset transfer rules",statute,NULL,127
52173,"ERISA Section 4220 [29 USC 1415] Transfers pursuant to change in bargaining representative",statute,NULL,127
52174,"29 USC 1421 to 1425 - Repealed. Pub. L. 113-235, div. O, title I, § 108(a)(1), Dec. 16, 2014, 128 Stat. 2786",statute,NULL,127
52175,"ERISA Section 4245 [29 USC 1426] Insolvent plans",statute,NULL,127
52176,"ERISA Section 4261 [29 USC 1431] Assistance by corporation",statute,NULL,127
52177,"ERISA Section 4281 [29 USC 1441] Benefits under certain terminated plans",statute,NULL,127
52178,"ERISA Section 4301 [29 USC 1451] Civil actions",statute,NULL,127
52179,"ERISA Section 4302 [29 USC 1452] Penalty for failure to provide notice",statute,NULL,127
52180,"ERISA Section 4303 [29 USC 1453] Election of plan status",statute,NULL,127
52181,"ERISA Section 4402 [29 USC 1461] Effective date; special rules",statute,NULL,127
83427,"ERISA Subchapter A-General (Part 2509)",rule,NULL,127
83428,"ERISA Part 2509-Interpretive Bulletins Relating to the Employee Retirement Income Security Act of 1974",rule,NULL,127
83429,"ERISA Rule 2509.08-1: Supplemental guidance relating to fiduciary responsibility in considering economically targeted investments.",rule,NULL,127
83431,"ERISA Rule 2509.75-2: Interpretive bulletin relating to prohibited transactions.",rule,NULL,127
83432,"ERISA Rule 2509.75-3: Interpretive bulletin relating to investments by employee benefit plans in securities of registered investment companies.",rule,NULL,127
83433,"ERISA Rule 2509.75-4: Interpretive bulletin relating to indemnification of fiduciaries.",rule,NULL,127
83434,"ERISA Rule 2509.75-5: Questions and answers relating to fiduciary responsibility.",rule,NULL,127
83435,"ERISA Rule 2509.75-6: Interpretive bulletin relating to section 408(c)(2) of the Employee Retirement Income Security Act of 1974.",rule,NULL,127
83436,"ERISA Rule 2509.75-8: Questions and answers relating to fiduciary responsibility under the Employee Retirement Income Security Act of 1974.",rule,NULL,127
83437,"ERISA Rule 2509.75-9: Interpretive bulletin relating to guidelines on independence of accountant retained by Employee Benefit Plan.",rule,NULL,127
83438,"ERISA Rule 2509.75-10: Interpretive bulletin relating to the ERISA Guidelines and the Special Reliance Procedure.",rule,NULL,127
83439,"ERISA Rule 2509.78-1: Interpretive bulletin relating to payments by certain employee welfare benefit plans.",rule,NULL,127
83440,"ERISA Rule 2509.94-3: Interpretive bulletin relating to in-kind contributions to employee benefit plans.",rule,NULL,127
83441,"ERISA Rule 2509.95-1: Interpretive bulletin relating to the fiduciary standards under ERISA when selecting an annuity provider for a defined benefit pension plan.",rule,NULL,127
83443,"ERISA Rule 2509.99-1: Interpretive Bulletin Relating to Payroll Deduction IRAs.",rule,NULL,127
83444,"ERISA Subchapter B-Definitions and Coverage Under the Employee Retirement Income Security Act of 1974 (Part 2510)",rule,NULL,127
83445,"ERISA Part 2510-Definitions of Terms Used In Subchapters C, D, E, F, and G of This Chapter",rule,NULL,127
83446,"ERISA Rule 2510.3-1: Employee welfare benefit plan.",rule,NULL,127
83447,"ERISA Rule 2510.3-2: Employee pension benefit plan.",rule,NULL,127
83448,"ERISA Rule 2510.3-3: Employee benefit plan.",rule,NULL,127
83449,"ERISA Rule 2510.3-16: Definition of “plan administrator.”",rule,NULL,127
83450,"ERISA Rule 2510.3-21: Definition of “Fiduciary.”",rule,NULL,127
83451,"ERISA Rule 2510.3-37: Multiemployer plan.",rule,NULL,127
83452,"ERISA Rule 2510.3-38: Filing requirements for State registered investment advisers to be investment managers.",rule,NULL,127
83453,"ERISA Rule 2510.3-40: Plans Established or Maintained Under or Pursuant to Collective Bargaining Agreements Under Section 3(40)(A) of ERISA.",rule,NULL,127
83454,"ERISA Rule 2510.3-101: Definition of “plan assets”-plan investments.",rule,NULL,127
83455,"ERISA Rule 2510.3-102: Definition of “plan assets”-participant contributions.",rule,NULL,127
83456,"ERISA Subchapter C-Reporting and Disclosure Under the Employee Retirement Income Security Act of 1974 (Part 2520)",rule,NULL,127
83457,"ERISA Part 2520-Rules and Regulations for Reporting and Disclosure",rule,NULL,127
83458,"ERISA Subpart A-General Reporting and Disclosure Requirements",rule,NULL,127
83459,"ERISA Rule 2520.101-1: Duty of reporting and disclosure.",rule,NULL,127
83460,"ERISA Rule 2520.101-2: Filing by multiple employer welfare arrangements and certain other related entities.",rule,NULL,127
83461,"ERISA Rule 2520.101-3: Notice of blackout periods under individual account plans.",rule,NULL,127
83462,"ERISA Rule 2520.101-4: Annual funding notice for multiemployer defined benefit pension plans.",rule,NULL,127
83463,"ERISA Rule 2520.101-5: Reserved",rule,NULL,127
83464,"ERISA Rule 2520.101-6: Multiemployer pension plan information made available on request.",rule,NULL,127
83465,"ERISA Subpart B-Contents of Plan Descriptions and Summary Plan Descriptions",rule,NULL,127
83466,"ERISA Rule 2520.102-1: Reserved",rule,NULL,127
83467,"ERISA Rule 2520.102-2: Style and format of summary plan description.",rule,NULL,127
83468,"ERISA Rule 2520.102-3: Contents of summary plan description.",rule,NULL,127
83469,"ERISA Rule 2520.102-4: Option for different summary plan descriptions.",rule,NULL,127
83470,"ERISA Subpart C-Annual Report Requirements",rule,NULL,127
83471,"ERISA Rule 2520.103-1: Contents of the annual report.",rule,NULL,127
83472,"ERISA Rule 2520.103-2: Contents of the annual report for a group insurance arrangement.",rule,NULL,127
83473,"ERISA Rule 2520.103-3: Exemption from certain annual reporting requirements for assets held in a common or collective trust.",rule,NULL,127
83474,"ERISA Rule 2520.103-4: Exemption from certain annual reporting requirements for assets held in an insurance company pooled separate account.",rule,NULL,127
83475,"ERISA Rule 2520.103-5: Transmittal and certification of information to plan administrator for annual reporting purposes.",rule,NULL,127
83476,"ERISA Rule 2520.103-6: Definition of reportable transaction for Annual Return/Report.",rule,NULL,127
83477,"ERISA Rule 2520.103-8: Limitation on scope of accountant's examination.",rule,NULL,127
83478,"ERISA Rule 2520.103-9: Direct filing for bank or insurance carrier trusts and accounts.",rule,NULL,127
83479,"ERISA Rule 2520.103-10: Annual report financial schedules.",rule,NULL,127
83480,"ERISA Rule 2520.103-11: Assets held for investment purposes.",rule,NULL,127
83481,"ERISA Rule 2520.103-12: Limited exemption and alternative method of compliance for annual reporting of investments in certain entities.",rule,NULL,127
83482,"ERISA Rule 2520.103-13: Special terminal report for abandoned plans.",rule,NULL,127
83483,"ERISA Subpart D-Provisions Applicable to Both Reporting and Disclosure Requirements",rule,NULL,127
83484,"ERISA Rule 2520.104-1: General.",rule,NULL,127
83485,"ERISA Rules 2520.104-2-2520.104-3: Reserved",rule,NULL,127
83486,"ERISA Rule 2520.104-4: Alternative method of compliance for certain successor pension plans.",rule,NULL,127
83487,"ERISA Rules 2520.104-5-2520.104-6: Reserved",rule,NULL,127
83488,"ERISA Rule 2520.104-20: Limited exemption for certain small welfare plans.",rule,NULL,127
83489,"ERISA Rule 2520.104-21: Limited exemption for certain group insurance arrangements.",rule,NULL,127
83490,"ERISA Rule 2520.104-22: Exemption from reporting and disclosure requirements for apprenticeship and training plans.",rule,NULL,127
83491,"ERISA Rule 2520.104-23: Alternative method of compliance for pension plans for certain selected employees.",rule,NULL,127
83492,"ERISA Rule 2520.104-24: Exemption for welfare plans for certain selected employees.",rule,NULL,127
83493,"ERISA Rule 2520.104-25: Exemption from reporting and disclosure for day care centers.",rule,NULL,127
83494,"ERISA Rule 2520.104-26: Limited exemption for certain unfunded dues financed welfare plans maintained by employee organizations.",rule,NULL,127
83495,"ERISA Rule 2520.104-27: Alternative method of compliance for certain unfunded dues financed pension plans maintained by employee organizations.",rule,NULL,127
83496,"ERISA Rule 2520.104-28: Reserved",rule,NULL,127
83497,"ERISA Rule 2520.104-41: Simplified annual reporting requirements for plans with fewer than 100 participants.",rule,NULL,127
83498,"ERISA Rule 2520.104-42: Waiver of certain actuarial information in the annual report.",rule,NULL,127
83499,"ERISA Rule 2520.104-43: Exemption from annual reporting requirement for certain group insurance arrangements.",rule,NULL,127
83500,"ERISA Rule 2520.104-44: Limited exemption and alternative method of compliance for annual reporting by unfunded plans and by certain insured plans.",rule,NULL,127
83501,"ERISA Rule 2520.104-45: Reserved",rule,NULL,127
83502,"ERISA Rule 2520.104-46: Waiver of examination and report of an independent qualified public accountant for employee benefit plans with fewer than 100 participants.",rule,NULL,127
83503,"ERISA Rule 2520.104-47: Limited exemption and alternative method of compliance for filing of insurance company financial reports.",rule,NULL,127
83504,"ERISA Rule 2520.104-48: Alternative method of compliance for model simplified employee pensions-IRS Form 5305-SEP.",rule,NULL,127
83505,"ERISA Rule 2520.104-49: Alternative method of compliance for certain simplified employee pensions.",rule,NULL,127
83506,"ERISA Rule 2520.104-50: Short plan years, deferral of accountant's examination and report.",rule,NULL,127
83507,"ERISA Subpart E-Reporting Requirements",rule,NULL,127
83508,"ERISA Rule 2520.104a-1: Filing with the Secretary of Labor.",rule,NULL,127
83509,"ERISA Rule 2520.104a-2: Electronic filing of annual reports.",rule,NULL,127
83510,"ERISA Rules 2520.104a-3-2520.104a-4: Reserved",rule,NULL,127
83511,"ERISA Rule 2520.104a-5: Annual reporting filing requirements.",rule,NULL,127
83512,"ERISA Rule 2520.104a-6: Annual reporting for plans which are part of a group insurance arrangement.",rule,NULL,127
83513,"ERISA Rule 2520.104a-7: Reserved",rule,NULL,127
83514,"ERISA Rule 2520.104a-8: Requirement to furnish documents to the Secretary of Labor on request.",rule,NULL,127
83515,"ERISA Subpart F-Disclosure Requirements",rule,NULL,127
83516,"ERISA Rule 2520.104b-1: Disclosure.",rule,NULL,127
83517,"ERISA Rule 2520.104b-2: Summary plan description.",rule,NULL,127
83518,"ERISA Rule 2520.104b-3: Summary of material modifications to the plan and changes in the information required to be included in the summary plan description.",rule,NULL,127
83519,"ERISA Rule 2520.104b-4: Alternative methods of compliance for furnishing the summary plan description and summaries of material modifications of a pension plan to a retired participant, a separated participant with vested benefits, and a benef...",rule,NULL,127
83520,"ERISA Rule 2520.104b-10: Summary Annual Report.",rule,NULL,127
83521,"ERISA Rule 2520.104b-30: Charges for documents.",rule,NULL,127
83522,"ERISA Subpart G-Recordkeeping Requirements",rule,NULL,127
83523,"ERISA Rule 2520.107-1: Use of electronic media for maintenance and retention of records.",rule,NULL,127
83524,"ERISA Subchapter D-Minimum Standards for Employee Pension Benefit Plans Under the Employee Retirement Income Security Act of 1974 (Part 2530)",rule,NULL,127
83525,"ERISA Part 2530-Rules and Regulations for Minimum Standards for Employee Pension Benefit Plans",rule,NULL,127
83526,"ERISA Subpart A-Scope and General Provisions",rule,NULL,127
83527,"ERISA Rule 2530.200a: Scope.",rule,NULL,127
83528,"ERISA Rule 2530.200a-1: Relationship of the Act and the Internal Revenue Code of 1954.",rule,NULL,127
83529,"ERISA Rule 2530.200a-2: Treasury regulations for purposes of the Act.",rule,NULL,127
83530,"ERISA Rule 2530.200a-3: Labor regulations for purposes of the Internal Revenue Code of 1954.",rule,NULL,127
83531,"ERISA Rule 2530.200b-1: Computation periods.",rule,NULL,127
83532,"ERISA Rule 2530.200b-2: Hour of service.",rule,NULL,127
83533,"ERISA Rule 2530.200b-3: Determination of service to be credited to employees.",rule,NULL,127
83534,"ERISA Rule 2530.200b-4: One-year break in service.",rule,NULL,127
83535,"ERISA Rule 2530.200b-5: Reserved",rule,NULL,127
83536,"ERISA Rule 2530.200b-6: Maritime industry.",rule,NULL,127
83537,"ERISA Rule 2530.200b-7: Day of service for employees in the maritime industry.",rule,NULL,127
83538,"ERISA Rule 2530.200b-8: Determination of days of service to be credited to maritime employees.",rule,NULL,127
83539,"ERISA Rule 2530.201-1: Coverage; general.",rule,NULL,127
83540,"ERISA Rule 2530.201-2: Plans covered by part 2530.",rule,NULL,127
83541,"ERISA Subpart B-Participation, Vesting and Benefit Accrual",rule,NULL,127
83542,"ERISA Rule 2530.202-1: Eligibility to participate; general.",rule,NULL,127
83543,"ERISA Rule 2530.202-2: Eligibility computation period.",rule,NULL,127
83544,"ERISA Rule 2530.203-1: Vesting; general.",rule,NULL,127
83545,"ERISA Rule 2530.203-2: Vesting computation period.",rule,NULL,127
